url,URLCategory
karelia.ru,"['government', 'internet-portals', 'news', 'online-storage-and-backup']"
kino-teatr.ru,"['copyright-infringement', 'entertainment-and-arts']"
kit-invest.ru,"['Business_and_Economy_custom', 'Internet_info_custom']"
klook.com,"['content-delivery-networks', 'travel']"
kolbasa.ru,"['society', 'web-based-email']"
kontur.ru,"['Internet_info_custom', 'business-and-economy']"
kovardin.ru,"['newly-registered-domain', 'parked']"
kto-zvonili.com,"['newly-registered-domain', 'news']"
kubsu.ru,"['educational-institutions', 'web-based-email']"
kucoin.com,"['cryptocurrency', 'stock-advice-and-tools']"
kulichki.com,"['personal-sites-and-blogs', 'sports']"
kulichki.net,"['personal-sites-and-blogs', 'sports']"
kxvrqpr2.xyz,"['parked', 'phishing']"
l3m.space,"['Insufficient_Content_custom', 'Internet_Portals_custom']"
last.fm,"['music', 'streaming-media']"
law360news.com,"['legal', 'news']"
legalserviceindia.com,"['legal', 'phishing']"
lenovomm.com,"['entertainment-and-arts', 'shareware-and-freeware']"
lenreg.ru,"['government', 'society']"
lenta.com,"['shopping', 'web-based-email']"
lesta.ru,"['Internet_info_custom', 'games']"
li.ru,"['personal-sites-and-blogs', 'search-engines']"
liadm.com,"['business-and-economy', 'content-delivery-networks']"
libero.it,"['internet-portals', 'web-based-email']"
licdn.com,"['content-delivery-networks', 'social-networking']"
ligastavok.ru,"['gambling', 'web-based-email']"
linkis.pro,"['Internet_Portals_custom', 'Society_custom']"
lipetsk.ru,"['educational-institutions', 'government', 'web-based-email']"
liquimoly.ru,"['motor-vehicles', 'web-based-email']"
list.ru,"['content-delivery-networks', 'search-engines']"
litemf.com,"['shopping', 'society']"
live.com,"['WebMail', 'internet-communications-and-telephony', 'internet-portals', 'online-storage-and-backup', 'web-based-email']"
live.net,"['online-storage-and-backup', 'web-based-email']"
livejournal.com,"['personal-sites-and-blogs', 'social-networking']"
livejournal.net,"['reference-and-research', 'social-networking']"
livesport.services,"['sports', 'web-hosting']"
livesportmedia.eu,"['business-and-economy', 'streaming-media']"
lkmotor.cn,"['Business_and_Economy_custom', 'Shopping_custom']"
lktroika.ru,"['Internet_info_custom', 'Social_Networking_custom']"
loti.ru,"['Internet_info_custom', 'adult']"
lsr.ru,"['real-estate', 'web-based-email']"
mai.ru,"['educational-institutions', 'web-based-email']"
mail.com,"['internet-portals', 'web-based-email']"
mail.ru,"['WebMail', 'business-and-economy', 'games', 'health-and-medicine', 'internal-resource-search', 'internet-portals', 'motor-vehicles', 'news', 'online-storage-and-backup', 'reference-and-research', 'search-engines', 'social-networking', 'society', 'web-based-email']"
maison-dellos.com,"['society', 'web-based-email']"
majordomo.ru,"['web-based-email', 'web-hosting']"
make-connect.ru,"['religion', 'society']"
mapbox.com,"['business-and-economy', 'reference-and-research']"
marinetraffic.com,"['content-delivery-networks', 'reference-and-research']"
mavink.com,"['newly-registered-domain', 'parked']"
mckw.ru,"['Insufficient_Content_custom', 'Parked_custom']"
me.com,"['WebMail', 'online-storage-and-backup', 'web-based-email']"
mediafort.ru,"['personal-sites-and-blogs', 'society']"
medkhv.ru,"['government', 'health-and-medicine']"
medsi.pro,"['newly-registered-domain', 'parked']"
megaphone.fm,"['business-and-economy', 'entertainment-and-arts']"
meizu.com,"['business-and-economy', 'personal-sites-and-blogs', 'shopping']"
memo.ru,"['philosophy-and-political-advocacy', 'reference-and-research']"
mi-img.com,"['business-and-economy', 'content-delivery-networks', 'shopping', 'social-networking']"
mi-ras.ru,"['society', 'web-based-email']"
mid.ru,"['government', 'web-based-email']"
minecraft.net,"['games', 'training-and-tools']"
minfin.ru,"['Government_custom', 'government']"
minstroyrf.ru,"['government', 'web-based-email']"
minudo.ru,"['Business_and_Economy_custom', 'Stock_Advice_and_Tools_custom']"
mirea.ru,"['educational-institutions', 'web-based-email']"
mirkvartir.me,"['personal-sites-and-blogs', 'real-estate']"
misis.ru,"['educational-institutions', 'web-based-email']"
missena.io,"['business-and-economy', 'internet-communications-and-telephony']"
mit.edu,"['educational-institutions', 'training-and-tools']"
mlrnd.ru,"['Business_and_Economy_custom', 'Insufficient_Content_custom', 'Internet_info_custom']"
mobbin.com,"['Internet_info_custom', 'web-hosting']"
mobhey.com,"['games', 'shareware-and-freeware']"
moiprofi.ru,"['society', 'streaming-media']"
moovitapp.com,"['content-delivery-networks', 'travel']"
moscow777.ru,"['gambling', 'newly-registered-domain']"
moskvarium.ru,"['entertainment-and-arts', 'travel']"
mosmetro.ru,"['business-and-economy', 'web-based-email']"
mpei.ru,"['educational-institutions', 'web-based-email']"
mradx.net,"['business-and-economy', 'content-delivery-networks']"
mrm-sm.ru,"['Business_and_Economy_custom', 'Internet_info_custom']"
msal.ru,"['educational-institutions', 'web-based-email']"
msmsu.ru,"['educational-institutions', 'web-based-email']"
msn.com,"['internet-communications-and-telephony', 'internet-portals', 'news', 'streaming-media']"
msu.ru,"['educational-institutions', 'web-based-email']"
msudrf.ru,"['Government_custom', 'government']"
mtml.ru,"['content-delivery-networks', 'society']"
mtw.ru,"['web-based-email', 'web-hosting']"
multispaces.net,"['parked', 'personal-sites-and-blogs']"
musicradio.com,"['entertainment-and-arts', 'streaming-media']"
mvideo.ru,"['shopping', 'web-based-email']"
mwmoskva.ru,"['real-estate', 'reference-and-research']"
my.com,"['business-and-economy', 'search-engines']"
mychooz.com,"['newly-registered-domain', 'parked']"
myhuaweicloud.com,"['adult', 'online-storage-and-backup', 'web-hosting']"
myqcloud.com,"['content-delivery-networks', 'online-storage-and-backup', 'reference-and-research']"
myshopify.com,"['music', 'shopping']"
nakarte.me,"['business-and-economy', 'reference-and-research']"
napps-1.com,"['reference-and-research', 'shareware-and-freeware']"
naver.com,"['internet-portals', 'reference-and-research', 'web-based-email']"
nekkimobile.ru,"['games', 'government']"
netangels.ru,"['web-based-email', 'web-hosting']"
ngs.ru,"['news', 'real-estate', 'search-engines', 'shareware-and-freeware', 'web-based-email']"
nic.ru,"['shopping', 'web-hosting']"
nightride.fm,"['business-and-economy', 'streaming-media']"
niidpo.ru,"['educational-institutions', 'training-and-tools']"
niir.ru,"['educational-institutions', 'web-based-email']"
nintendo.net,"['business-and-economy', 'games']"
nnov.ru,"['business-and-economy', 'government']"
norbit.ru,"['business-and-economy', 'web-based-email']"
nordcdn.com,"['proxy-avoidance-and-anonymizers', 'shareware-and-freeware']"
nordeus.com,"['content-delivery-networks', 'games']"
novoivhram.ru,"['phishing', 'religion']"
nsc.ru,"['Educational_Institutions_custom', 'reference-and-research']"
nyu.edu,"['Personal_Sites_and_Blogs_custom', 'educational-institutions']"
o2.pl,"['internet-portals', 'web-based-email']"
ocsp-certum.com,"['games', 'philosophy-and-political-advocacy']"
ohotaktiv.ru,"['Shopping_custom', 'weapons']"
onet.pl,"['internet-portals', 'web-based-email']"
onetwotrip.com,"['travel', 'web-based-email']"
online-json.com,"['newly-registered-domain', 'parked']"
online-translator.com,"['reference-and-research', 'translation']"
onlineconvert.com,"['grayware', 'online-storage-and-backup']"
onliner.by,"['internet-portals', 'motor-vehicles', 'news']"
ooklaserver.net,"['music', 'personal-sites-and-blogs']"
openvpn.net,"['internet-communications-and-telephony', 'proxy-avoidance-and-anonymizers']"
openweathermap.org,"['news', 'reference-and-research']"
operator555.su,"['phishing', 'society']"
orb.ru,"['government', 'web-based-email']"
orientpalms.com,"['music', 'reference-and-research']"
ostrovok.ru,"['travel', 'web-based-email']"
otcpharm.ru,"['health-and-medicine', 'web-based-email']"
oup.com,"['educational-institutions', 'reference-and-research']"
outfit7.com,"['games', 'shareware-and-freeware']"
outlook.com,"['WebMail', 'web-based-email']"
ox.ac.uk,"['educational-institutions', 'philosophy-and-political-advocacy']"
palm.tech,"['streaming-media', 'web-hosting']"
paymgate.ru,"['alcohol-and-tobacco', 'personal-sites-and-blogs']"
pcbltools.ru,"['entertainment-and-arts', 'internet-communications-and-telephony']"
pddpic.com,"['business-and-economy', 'online-storage-and-backup']"
pecom.ru,"['business-and-economy', 'web-based-email']"
perfect365.com,"['religion', 'society']"
perm.ru,"['government', 'web-based-email']"
